序号,行业名称,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
88,饮料制造,5430.66,-1.43,20.41,37.32,-0.001691,45,海融科技,0.71,26.88
90,保险,2121.74,-1.68,24.65,42.1,-0.001745,6,*ST天茂,0.0,0.0
35,军工装备,2234.59,0.01,129.47,149.26,-0.00198,81,北方长龙,10.09,132.92
63,电网设备,5688.34,-0.48,77.81,99.04,-0.002123,137,洛凯股份,5.97,20.6
86,游戏,10915.0,-1.27,68.21,90.78,-0.002257,24,ST中青宝,4.38,12.87
64,化学制品,7165.54,-0.5,99.84,122.56,-0.002271,172,红墙股份,9.1,13.19
48,光学光电子,4816.39,-0.21,129.46,152.5,-0.002304,107,杉杉股份,9.97,14.78
58,汽车整车,3387.64,-0.43,74.78,98.7,-0.002393,23,众泰汽车,10.03,3.73
17,通信服务,3031.87,0.45,120.15,145.3,-0.002515,46,润建股份,9.99,52.4
81,白色家电,8234.91,-0.91,84.04,110.04,-0.0026,43,海立股份,6.46,22.26
71,零售,2181.58,-0.62,90.7,116.78,-0.0026079999999999996,71,国光连锁,5.81,20.93
50,专用设备,7492.6,-0.23,143.27,169.98,-0.002672,193,精智达,20.0,134.05
31,IT服务,14247.1,0.09,254.78,282.67,-0.0027890000000000002,127,开普云,14.13,160.93
70,消费电子,11409.1,-0.6,359.1,388.63,-0.0029530000000000003,98,易德龙,7.27,48.26
40,电力,1778.75,-0.11,122.47,152.52,-0.003006,101,兆新股份,10.11,3.16
89,白酒,3232.73,-1.58,57.92,91.28,-0.003336,20,贵州茅台,-0.49,1516.0
57,通用设备,8681.79,-0.37,219.43,254.4,-0.0034969999999999997,249,驰诚股份,29.96,26.33
67,软件开发,2431.64,-0.57,264.83,311.0,-0.0046170000000000004,139,纬德信息,8.54,57.8
55,电池,18881.7,-0.37,454.44,501.93,-0.004749000000000001,101,赢合科技,20.01,33.4
82,光伏设备,7663.64,-0.97,173.77,222.52,-0.004875,75,ST泉为,7.66,14.06
75,汽车零部件,6815.22,-0.7,256.65,319.13,-0.006249,253,雪龙集团,10.01,22.42
61,通信设备,7402.6,-0.47,435.04,499.64,-0.006459,88,特发信息,10.02,11.53
85,证券,1712.82,-1.27,180.6,262.7,-0.00821,50,中银证券,2.17,15.54
87,银行,1325.74,-1.4,93.22,178.68,-0.008546,84,兰州银行,0.0,2.44
