序号,行业名称,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
85,保险,2099.14,-1.06,20.63,32.87,-12.25,6,*ST天茂,0.0,0.0
60,医疗器械,12537.1,-0.36,64.77,77.11,-12.34,132,福瑞股份,20.01,82.24
33,其他电子,15596.6,0.08,63.87,76.52,-12.65,33,百邦科技,12.81,14.18
6,汽车零部件,6890.11,1.1,319.99,332.81,-12.82,253,开特股份,13.56,36.6
23,建筑装饰,4198.05,0.34,90.25,103.42,-13.17,151,上海建工,10.19,2.92
39,光伏设备,7662.16,-0.02,224.8,237.97,-13.17,75,晶盛机电,8.49,38.07
19,房地产,1862.64,0.48,120.14,133.86,-13.72,92,荣盛发展,10.29,1.93
50,电网设备,5677.32,-0.19,74.36,88.8,-14.44,137,中超控股,10.02,5.16
36,专用设备,7496.56,0.05,132.91,148.23,-15.33,193,南风股份,20.02,15.11
21,光学光电子,4833.92,0.36,125.6,141.28,-15.67,107,久量股份,10.22,31.59
40,电力,1778.19,-0.03,130.22,149.73,-19.5,101,华光环能,10.03,17.88
88,文化传媒,2901.67,-1.46,71.94,92.35,-20.41,85,电声股份,10.75,13.8
58,消费电子,11372.5,-0.32,280.71,301.27,-20.57,98,得润电子,10.0,8.69
44,化学制药,7162.13,-0.14,140.83,163.17,-22.34,157,德展健康,10.02,4.72
87,军工电子,11745.9,-1.46,44.32,66.84,-22.52,62,奥普光电,1.01,49.95
83,元件,15016.1,-1.04,243.27,266.09,-22.82,59,科翔股份,6.76,12.8
69,化学制品,7123.44,-0.59,84.99,110.11,-25.12,172,星华新材,9.1,26.51
37,通用设备,8682.79,0.01,190.92,216.93,-26.0,249,腾亚精工,19.98,23.42
76,通信服务,3009.17,-0.75,85.96,115.85,-29.89,46,线上线下,20.0,57.43
78,软件开发,2411.0,-0.85,197.53,230.2,-32.66,139,信息发展,13.83,78.42
86,军工装备,2206.57,-1.25,86.35,121.41,-35.06,81,ST炼石,5.05,8.95
82,工业金属,3673.51,-0.94,151.72,188.61,-36.88,58,怡球资源,6.29,3.04
59,证券,1706.72,-0.36,164.55,207.94,-43.4,50,国盛金控,3.46,20.04
77,IT服务,14131.2,-0.81,212.97,257.12,-44.15,127,荣科科技,16.73,31.33
90,小金属,6449.72,-2.1,105.56,152.15,-46.59,26,中矿资源,2.86,43.49
68,通信设备,7359.28,-0.58,324.73,381.93,-57.21,88,国盾量子,9.94,318.98
80,银行,1313.73,-0.91,97.27,160.48,-63.21,84,郑州银行,0.98,2.07
16,电池,18991.8,0.58,501.39,566.66,-65.26,101,中一科技,20.0,43.92
20,半导体,11137.7,0.38,746.52,866.55,-120.04,163,圣邦股份,20.0,87.42
