序号,行业名称,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
4,汽车整车,3436.75,1.45,156.03,125.29,30.75,23,海马汽车,9.98,5.4
1,游戏,11313.4,3.65,116.33,88.32,28.01,24,星辉娱乐,20.0,6.66
8,煤炭开采加工,2395.76,1.04,38.56,27.13,11.44,33,电投能源,4.04,23.16
2,养殖业,3253.39,1.48,56.94,46.62,10.32,38,立华股份,7.25,24.86
9,医疗服务,18787.2,1.0,112.37,104.65,7.72,53,昭衍新药,10.01,41.65
3,影视院线,1782.51,1.48,57.25,54.86,2.39,20,幸福蓝海,10.65,32.2
25,物流,5866.74,0.26,30.22,28.35,1.87,50,福然德,7.5,21.65
14,种植业与林业,4241.71,0.74,16.85,14.99,1.86,30,康农种业,4.75,27.57
11,农产品加工,4601.17,0.93,28.69,27.17,1.52,43,傲农生物,10.02,6.04
15,厨卫电器,7383.72,0.61,4.5,3.67,0.84,9,亿田智能,11.02,58.31
10,油气开采及服务,1393.99,0.94,19.16,18.47,0.69,20,通源石油,4.7,6.02
12,其他电源设备,6187.23,0.91,101.55,101.06,0.5,32,海博思创,8.65,198.29
46,石油加工贸易,3297.88,-0.17,16.79,16.75,0.04,28,岳阳兴长,3.39,17.98
29,能源金属,24734.9,0.17,71.76,71.97,-0.21,13,赣锋锂业,4.49,48.66
22,其他社会服务,20462.1,0.36,14.42,14.81,-0.39,70,实朴检测,7.56,30.17
52,轨交设备,1137.1,-0.27,10.56,11.19,-0.63,30,雷尔伟,3.51,21.8
18,贸易,2924.4,0.51,6.41,7.35,-0.95,15,怡亚通,10.02,5.49
45,黑色家电,4339.69,-0.15,20.81,21.81,-0.99,9,创维数字,3.56,14.25
73,小家电,4998.98,-0.66,9.37,10.49,-1.12,25,鸿智科技,4.12,21.99
26,旅游及酒店,3573.88,0.25,37.75,38.94,-1.19,34,西域旅游,5.34,51.06
27,家居用品,4257.6,0.23,28.14,29.33,-1.19,97,好太太,10.0,31.9
28,环保设备,1204.33,0.23,9.54,10.74,-1.2,29,龙净环保,7.39,14.1
35,燃气,1631.65,0.06,6.51,8.31,-1.79,28,胜通能源,10.01,13.85
81,橡胶制品,15861.0,-0.91,7.95,9.88,-1.93,20,震安科技,4.99,23.16
54,纺织制造,2260.93,-0.29,11.38,13.36,-1.98,32,迎丰股份,6.45,9.24
5,互联网电商,8418.97,1.26,14.59,16.75,-2.16,19,有棵树,19.96,6.13
67,白酒,3214.23,-0.57,47.98,50.29,-2.31,20,舍得酒业,1.57,67.19
41,化学纤维,3879.92,-0.07,14.71,17.05,-2.35,28,华鼎股份,10.05,4.27
34,汽车服务及其他,1287.8,0.07,14.23,16.8,-2.57,25,征和工业,10.0,50.82
64,机场航运,2151.36,-0.47,12.44,15.05,-2.61,13,海航控股,0.62,1.62
74,综合,2331.81,-0.7,26.23,29.06,-2.82,19,漳州发展,4.9,7.07
31,港口航运,1144.21,0.14,31.46,34.42,-2.96,36,招商轮船,7.17,8.97
13,食品加工制造,5477.67,0.77,30.69,33.79,-3.1,66,得利斯,10.1,5.45
63,公路铁路运输,1422.25,-0.44,12.7,16.09,-3.39,32,大众交通,2.62,6.26
43,风电设备,4552.71,-0.13,29.23,32.66,-3.43,29,运达股份,5.17,18.7
42,美容护理,5943.09,-0.07,12.1,15.58,-3.49,32,洁雅股份,3.95,35.01
62,医药商业,4840.09,-0.43,11.19,14.84,-3.65,31,百洋医药,1.37,31.06
47,工程机械,3260.71,-0.17,27.44,31.1,-3.66,36,长龄液压,6.27,47.46
48,教育,5009.84,-0.17,10.65,14.52,-3.87,17,华图山鼎,7.09,77.0
17,造纸,2213.84,0.56,28.14,32.39,-4.25,23,冠豪高新,10.16,3.47
84,非金属材料,26173.4,-1.06,6.54,11.05,-4.51,13,天马新材,1.44,39.36
56,农化制品,4935.51,-0.31,39.12,44.19,-5.07,60,中旗股份,6.38,7.17
70,包装印刷,4383.54,-0.59,19.84,25.76,-5.91,46,康欣新材,3.37,3.07
38,化学原料,3088.11,-0.01,31.51,38.84,-7.32,60,龙佰集团,5.09,19.62
30,塑料制品,9708.86,0.15,69.96,77.47,-7.51,75,杭州高新,14.36,25.25
7,电机,3700.18,1.08,91.35,98.91,-7.55,25,三协电机,14.15,90.9
32,建筑材料,5387.22,0.1,44.12,51.8,-7.68,71,北京利尔,10.04,9.97
55,生物制品,7158.28,-0.3,40.07,48.24,-8.17,54,昊帆生物,9.1,59.2
24,白色家电,8258.84,0.29,84.17,92.68,-8.51,43,康盛股份,10.02,4.72
57,环境治理,4037.84,-0.31,55.73,64.3,-8.57,113,东方园林,9.88,2.67
49,多元金融,1212.92,-0.19,22.31,30.91,-8.6,27,*ST仁东,4.95,6.15
75,金属新材料,13757.2,-0.72,28.71,37.4,-8.68,32,深圳新星,3.13,21.71
65,钢铁,1668.63,-0.53,45.42,54.27,-8.85,43,武进不锈,4.21,7.17
71,饮料制造,5395.69,-0.64,19.58,28.58,-9.0,45,安德利,5.72,44.35
89,贵金属,4017.98,-1.74,44.21,54.47,-10.26,11,湖南白银,1.66,6.72
66,计算机设备,4179.8,-0.54,141.84,152.18,-10.34,82,锐明技术,7.12,51.29
61,中药,3589.47,-0.41,36.05,46.81,-10.76,70,万邦德,10.0,11.33
51,零售,2176.47,-0.23,76.92,87.92,-11.0,71,三江购物,9.98,18.19
72,服装家纺,2917.6,-0.65,29.12,40.24,-11.11,76,泰慕士,9.99,27.42
53,自动化设备,25925.2,-0.28,149.18,160.54,-11.36,91,艾隆科技,12.75,24.32
79,电子化学品,49387.4,-0.88,45.21,57.41,-12.2,42,天通股份,4.86,11.22
